ID,Condition,Trial,JumpHeightFP,JumpHeightMarkers,PeakPower,AvgPower
1,CMJ,1,0.475361766513674,0.558657420654681,65.1362682154284,7.2679743965196
1,CMJ,2,0.48569659808452,0.607074072719596,64.8167057157909,7.253941226021
1,CMJ_R,1,0.131860899074977,,27.7525599719391,-0.109024516422987
1,CMJ_R,2,0.146668440698512,,28.4504728253078,0.445593378108946
1,CMJ_L,1,0.161520344513718,,30.0964787694343,0.514730771716182
1,CMJ_L,2,0.00969765799053891,,-0.127297955454625,-20.6961669064184
2,CMJ,1,0.238398556009811,0.338103229491425,40.6006869352317,4.29898824407898
2,CMJ,2,0.225152618533114,0.325172147096593,39.6639139588584,4.82472282225589
2,CMJ_R,1,0.143755079377655,,29.8058873939377,6.08084181906545
2,CMJ_R,2,0.150972853055419,,31.6655353179212,5.89377234878389
2,CMJ_L,1,0.165225759208203,,31.385597609099,7.11131245353859
2,CMJ_L,2,0.173772473126279,,33.1401722084223,6.31101841947694
3,CMJ,1,0.180028837608524,0.312331834700985,33.7329076300233,4.28829066957233
3,CMJ,2,0.16860390384149,0.313108917236724,33.2848023776637,2.51604425259695
3,CMJ_R,1,0.0752417916132349,,20.1053196061407,2.25552032623068
3,CMJ_R,2,0.0741285507377116,,19.9721251064897,2.36660761492387
3,CMJ_L,1,0.10937376487392,,24.1906609729476,5.10182937406885
3,CMJ_L,2,0.12064293618876,,24.8194875442881,5.3721085885506
4,CMJ,1,0.208913676109114,0.379727055578824,35.975971798175,2.99698124902258
4,CMJ,2,0.22097444936349,0.37219471420081,38.6392434311095,3.59886427632353
4,CMJ_R,1,0.110969457523007,,23.00888026037,4.13882038385136
4,CMJ_R,2,0.120683330061119,,24.586138418188,4.58940937649301
4,CMJ_L,1,0.118152716776371,,23.589723311059,4.20707558168171
4,CMJ_L,2,0.143350419365706,,27.2385990315946,5.92595460813047
5,CMJ,1,0.289986565156712,0.38912493299502,46.1607066274588,4.74564709925149
5,CMJ,2,0.284049619991485,0.378311671528504,45.2956419283833,5.03082669361834
5,CMJ_R,1,0.0463149816621625,,16.2158947592846,-1.35548695390331
5,CMJ_R,2,0.0599853382637431,,18.1239486777698,-0.887416548632639
5,CMJ_L,1,0.059247133366421,,18.4823374377463,-0.0592604806367778
5,CMJ_L,2,0.0688732980310763,,19.5401015159911,-0.871758655588151
6,CMJ,1,0.267067466039409,0.416154742182864,48.2394132690862,4.29094499014076
6,CMJ,2,0.281064390359585,0.435621030822784,50.2971649544389,4.10647157667794
6,CMJ_R,1,0.181852049970554,,33.2637077349048,5.72349920923784
6,CMJ_R,2,0.204761596497773,,35.6558810163243,6.55735176909042
6,CMJ_L,1,0.216350915487691,,35.2693266245791,8.34519278167469
6,CMJ_L,2,0.216713406700345,,35.191666980326,6.98158051688571
7,CMJ,1,0.28735644565844,0.389456684957591,46.1122208434136,4.22510619843064
7,CMJ,2,0.292714160418851,0.414829718304421,48.3190406658986,4.30394715532005
7,CMJ_R,1,0.211260480537893,,34.5571487283181,6.86304593190527
7,CMJ_R,2,0.236651593185215,,36.3314142996879,8.40099370405554
7,CMJ_L,1,0.229768567248509,,36.8894292446495,8.16237431194267
7,CMJ_L,2,0.175911555863051,,30.3689707720421,5.72754063318305
8,CMJ,1,0.175654602334659,0.30713985621608,33.4727167683864,0.390623202620224
8,CMJ,2,0.173172976768653,0.300731324055748,34.8598355258344,0.572000070908384
8,CMJ_R,1,0.0179187275709276,,-0.0676901434961789,-7.77127095066518
8,CMJ_R,2,0.00347973217396222,,0.0419410335825596,-6.95311866223441
8,CMJ_L,1,0.00456654286621149,,0.407193985722945,-6.1727663306973
8,CMJ_L,2,0.00213769839874029,,0.920731239809805,-7.39171535098572
9,CMJ,1,0.388318762030165,0.474202970888656,55.4152433198519,5.42793292880806
9,CMJ,2,0.40457662007178,0.510550991836594,57.5648206411767,5.43813026010943
9,CMJ_R,1,0.137272878951608,,27.776461930351,3.07428947948826
9,CMJ_R,2,0.1196647740145,,25.5830521535985,2.63411103616334
9,CMJ_L,1,0.133060294836067,,27.2686626819237,3.95589387462827
9,CMJ_L,2,0.157273964757295,,28.9260478711459,4.23979094090802
10,CMJ,1,0.311131866977254,0.427408763872456,50.2902723225593,4.72735508530952
10,CMJ,2,0.289336045737166,0.44164954811114,48.2930445163652,3.91564890430186
10,CMJ_R,1,0.170128457287646,,33.109359439057,5.33271252270355
10,CMJ_R,2,0.198424828133966,,34.4405658587811,4.39707039775029
10,CMJ_L,1,0.21977219309581,,36.7280057920621,5.41004049923146
10,CMJ_L,2,0.237795829460549,,37.0570734260187,5.49938868646818
11,CMJ,1,0.219090121923918,0.340953540562525,42.7004278449142,3.04905041385086
11,CMJ,2,0.249445852554694,0.373357516121001,44.7712495865527,4.65300971537158
11,CMJ_R,1,0.0673890768102999,,19.751952864737,0.881665165266061
11,CMJ_R,2,0.0710068587836971,,21.1399090474518,1.24370350726545
11,CMJ_L,1,0.0945665587223587,,25.3483240849021,3.42045763613357
11,CMJ_L,2,0.0829080539849503,,23.0164034777625,2.80287547425364
12,CMJ,1,0.227581636046771,0.346581295400423,40.1950161675424,4.48962353858703
12,CMJ,2,0.433740736882888,0.337310385738717,-0.258265178047888,-65.1552866386582
12,CMJ_R,1,0.0285544135946782,,13.5837785209002,-2.98848049248226
12,CMJ_R,2,0.0146484611127287,,11.0792171987292,-3.38372694334078
12,CMJ_L,1,0.0165380152607116,,11.5096376398586,-3.42277255254763
12,CMJ_L,2,0.0165380152607116,,11.5096376398586,-3.42277255254763
13,CMJ,1,0.268597721470211,0.382197431957962,47.7364878691609,4.68795992695053
13,CMJ,2,0.252811679515163,0.388503302345785,45.7397833362518,3.57844897214981
13,CMJ_R,1,0.210646481789203,,37.0751086452583,9.26391721472442
13,CMJ_R,2,0.200915776137382,,35.2415757717677,8.43923698383288
13,CMJ_L,1,0.248582423283876,,39.8704137132062,5.30854030409562
13,CMJ_L,2,0.259664737805417,,39.9626956835349,5.41438800088986
14,CMJ,1,0.46895112727541,0.595232649030657,64.4220666805892,6.75660277006802
14,CMJ,2,0.477100089759165,0.62640734869045,65.5191723183086,8.0199210002734
14,CMJ_R,1,0.190492058283053,,35.7764590461273,3.22284656814198
14,CMJ_R,2,0.175082189971032,,34.001808140688,3.72020814103559
14,CMJ_L,1,0.150538190838373,,29.1990682928284,3.60739233606551
14,CMJ_L,2,0.177884078752414,,32.0521483255844,4.42913019876895
15,CMJ,1,0.452605526842362,0.560040966182213,61.6262498704838,7.502956678714
15,CMJ,2,0.448905989560606,0.551694010745076,60.6165663807636,7.56696058400511
15,CMJ_R,1,0.238087106189339,,37.2910092766107,6.47015366993499
15,CMJ_R,2,0.259159218671535,,38.7856688537329,7.26286447025483
15,CMJ_L,1,0.296071671403268,,41.449805369866,8.57655972504918
15,CMJ_L,2,0.267576728227948,,38.9756630835594,8.40540250375864
16,CMJ,1,0.357850006422067,0.494857052310281,52.6436629643289,6.85176225467644
